
		0,1,1,1,9,9,9,9,9,9,9,9,9,9,
		1,0,1,9,9,9,9,1,9,9,9,9,9,9,
		1,1,0,9,9,1,9,9,9,9,9,9,9,9,
		1,9,9,0,1,9,9,9,1,9,9,9,9,9,
		9,9,9,1,0,1,1,9,9,9,9,9,9,9,
		9,9,1,9,1,0,9,9,9,9,1,9,1,9,
		9,9,9,9,1,9,0,1,9,9,9,9,9,9,
		9,1,9,9,9,9,1,0,9,1,9,9,9,9,
		9,9,9,1,9,9,9,9,0,9,9,1,9,1,
		9,9,9,9,9,9,9,1,9,0,1,1,9,1,
		9,9,9,9,9,1,9,9,9,1,0,9,9,9,
		9,9,9,9,9,9,9,9,1,1,9,0,1,9,
		9,9,9,9,9,1,9,9,9,9,9,1,0,1,
		9,9,9,9,9,9,9,9,1,1,9,9,1,0	


	0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0
              0-0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
              1- 1,0,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,
              2-1,1,0,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
              3-9,1,9,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
              4-9,9,9,1,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
              5-9,9,1,9,1,0,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,
              6-9,9,9,9,9,1,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,
              7-9,1,9,9,9,9,1,0,1,1,9,9,9,9,9,9,9,9,9,9,9,
              8-9,9,9,9,9,9,9,1,0,9,9,1,9,9,9,9,9,9,9,9,9,
              9-9,9,9,9,9,9,9,1,9,0,9,9,9,9,1,9,9,9,9,9,9,
            10-9,9,9,9,9,1,9,9,9,9,0,9,9,9,9,1,9,9,9,9,9,
            11- 9,9,9,9,9,9,9,9,1,9,9,0,1,9,9,9,9,9,9,9,9,
            12-9,9,9,9,9,9,9,9,9,9,9.1,0,1,9,9,1,9,9,9,9,
            13-9,9,9,9,9,9,9,9,9,9,9,9,1,0,1,9,9,9,9,9,9,
            14-9,9,9,9,9,9,9,9,9,1,9,9,9,1,0,1,9,9,9,9,9,
            15-9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,0,9,1,9,9,9,
            16-9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,0,9,1,9,9,
            17-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,1,9,
            18-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,1,
            19-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,1,
            20-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,0,


             0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
             1,0,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,
             1,1,0,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
             9,1,9,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
             9,9,9,1,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
             9,9,1,9,1,0,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,
             9,9,9,9,9,1,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,
             9,1,9,9,9,9,1,0,1,1,9,9,9,9,9,9,9,9,9,9,9,
             9,9,9,9,9,9,9,1,0,9,9,1,9,9,9,9,9,9,9,9,9,
             9,9,9,9,9,9,9,1,9,0,9,9,9,9,1,9,9,9,9,9,9,
             9,9,9,9,9,1,9,9,9,9,0,9,9,9,9,1,9,9,9,9,9,
             9,9,9,9,9,9,9,9,1,9,9,0,1,9,9,9,9,9,9,9,9,
             9,9,9,9,9,9,9,9,9,9,9.1,0,1,9,9,1,9,9,9,9,
             9,9,9,9,9,9,9,9,9,9,9,9,1,0,1,9,9,9,9,9,9,
             9,9,9,9,9,9,9,9,9,1,9,9,9,1,0,1,9,9,9,9,9,
             9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,0,9,1,9,9,9,
             9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,0,9,1,9,9,
             9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,1,9,
             9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,1,
             9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,1,
             9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,0





	
